
epoch: 1, loss: 0.3495, norm: 0.4345, param_norm: 1193.4843, vb_loss: 0.0002, ce_loss: 0.1926:  35%|███▌      | 83/235 [00:15<00:13, 10.99it/s]
epoch: 1, loss: 0.3479, norm: 0.1543, param_norm: 1193.5076, vb_loss: 0.0002, ce_loss: 0.1898:  35%|███▌      | 83/235 [00:15<00:13, 10.99it/s]
epoch: 1, loss: 0.3463, norm: 0.2192, param_norm: 1193.5342, vb_loss: 0.0002, ce_loss: 0.1856:  35%|███▌      | 83/235 [00:15<00:13, 10.99it/s]
epoch: 1, loss: 0.3463, norm: 0.2192, param_norm: 1193.5342, vb_loss: 0.0002, ce_loss: 0.1856:  36%|███▌      | 85/235 [00:15<00:12, 11.99it/s]
epoch: 1, loss: 0.3447, norm: 0.1201, param_norm: 1193.5669, vb_loss: 0.0002, ce_loss: 0.1852:  36%|███▌      | 85/235 [00:15<00:12, 11.99it/s]
epoch: 1, loss: 0.3431, norm: 0.1956, param_norm: 1193.5964, vb_loss: 0.0002, ce_loss: 0.1844:  36%|███▌      | 85/235 [00:15<00:12, 11.99it/s]
epoch: 1, loss: 0.3431, norm: 0.1956, param_norm: 1193.5964, vb_loss: 0.0002, ce_loss: 0.1844:  37%|███▋      | 87/235 [00:15<00:11, 12.93it/s]
epoch: 1, loss: 0.3415, norm: 0.1401, param_norm: 1193.6211, vb_loss: 0.0011, ce_loss: 0.1852:  37%|███▋      | 87/235 [00:15<00:11, 12.93it/s]
epoch: 1, loss: 0.3399, norm: 0.2853, param_norm: 1193.6426, vb_loss: 0.0002, ce_loss: 0.1849:  37%|███▋      | 87/235 [00:15<00:11, 12.93it/s]
epoch: 1, loss: 0.3399, norm: 0.2853, param_norm: 1193.6426, vb_loss: 0.0002, ce_loss: 0.1849:  38%|███▊      | 89/235 [00:15<00:10, 13.61it/s]
epoch: 1, loss: 0.3384, norm: 0.1898, param_norm: 1193.6683, vb_loss: 0.0002, ce_loss: 0.1889:  38%|███▊      | 89/235 [00:15<00:10, 13.61it/s]
epoch: 1, loss: 0.3369, norm: 0.2232, param_norm: 1193.6981, vb_loss: 0.0009, ce_loss: 0.1857:  38%|███▊      | 89/235 [00:15<00:10, 13.61it/s]
epoch: 1, loss: 0.3369, norm: 0.2232, param_norm: 1193.6981, vb_loss: 0.0009, ce_loss: 0.1857:  39%|███▊      | 91/235 [00:15<00:10, 14.20it/s]
epoch: 1, loss: 0.3354, norm: 0.2401, param_norm: 1193.7238, vb_loss: 0.0006, ce_loss: 0.1886:  39%|███▊      | 91/235 [00:15<00:10, 14.20it/s]
epoch: 1, loss: 0.3339, norm: 0.1494, param_norm: 1193.7448, vb_loss: 0.0002, ce_loss: 0.1866:  39%|███▊      | 91/235 [00:15<00:10, 14.20it/s]
epoch: 1, loss: 0.3339, norm: 0.1494, param_norm: 1193.7448, vb_loss: 0.0002, ce_loss: 0.1866:  40%|███▉      | 93/235 [00:15<00:09, 14.56it/s]
epoch: 1, loss: 0.3325, norm: 0.1426, param_norm: 1193.7664, vb_loss: 0.0002, ce_loss: 0.1928:  40%|███▉      | 93/235 [00:15<00:09, 14.56it/s]
epoch: 1, loss: 0.3310, norm: 0.2126, param_norm: 1193.7878, vb_loss: 0.0002, ce_loss: 0.1831:  40%|███▉      | 93/235 [00:16<00:09, 14.56it/s]
epoch: 1, loss: 0.3310, norm: 0.2126, param_norm: 1193.7878, vb_loss: 0.0002, ce_loss: 0.1831:  40%|████      | 95/235 [00:16<00:09, 14.88it/s]
epoch: 1, loss: 0.3296, norm: 0.0995, param_norm: 1193.8044, vb_loss: 0.0002, ce_loss: 0.1860:  40%|████      | 95/235 [00:16<00:09, 14.88it/s]
epoch: 1, loss: 0.3281, norm: 0.2176, param_norm: 1193.8177, vb_loss: 0.0008, ce_loss: 0.1825:  40%|████      | 95/235 [00:16<00:09, 14.88it/s]
epoch: 1, loss: 0.3281, norm: 0.2176, param_norm: 1193.8177, vb_loss: 0.0008, ce_loss: 0.1825:  41%|████▏     | 97/235 [00:16<00:09, 15.15it/s]
epoch: 1, loss: 0.3266, norm: 0.1067, param_norm: 1193.8330, vb_loss: 0.0002, ce_loss: 0.1843:  41%|████▏     | 97/235 [00:16<00:09, 15.15it/s]
epoch: 1, loss: 0.3251, norm: 0.1305, param_norm: 1193.8500, vb_loss: 0.0002, ce_loss: 0.1770:  41%|████▏     | 97/235 [00:16<00:09, 15.15it/s]
epoch: 1, loss: 0.3251, norm: 0.1305, param_norm: 1193.8500, vb_loss: 0.0002, ce_loss: 0.1770:  42%|████▏     | 99/235 [00:16<00:08, 15.20it/s]
epoch: 1, loss: 0.3238, norm: 0.3255, param_norm: 1193.8691, vb_loss: 0.0002, ce_loss: 0.1859:  42%|████▏     | 99/235 [00:16<00:08, 15.20it/s]
epoch: 1, loss: 0.3224, norm: 0.3777, param_norm: 1193.8865, vb_loss: 0.0002, ce_loss: 0.1846:  42%|████▏     | 99/235 [00:16<00:08, 15.20it/s]
epoch: 1, loss: 0.3224, norm: 0.3777, param_norm: 1193.8865, vb_loss: 0.0002, ce_loss: 0.1846:  43%|████▎     | 101/235 [00:16<00:08, 15.39it/s]
